filename,size_mb,domain,confidence,is_book,title,authors_str,year,priority_score,duplicate_group,flags_str,sha256,pages
1 Claude Cohen-Tannoudji Bernard Diu Frank LaloÃ - Quantum Mechanics Volume 1 2nd Edition 1 2019 Wiley - libgenli.pdf,47.0,physics,low,True,"Quantum Mechanics, Volume 1",Claude Cohen-Tannoudji; Bernard Diu; Franck Lalo,2019,80,,,3c07e21036bc76cf506b61bbea7cb601730bfddd5db47907f543d70f78854ea7,948
"George B. Thomas , Maurice D. Weir , Joel R. Hass - Instructor's Solutions Manual to Thomas' Calculus_ Early Transcendentals, 13th Edition-Pearson (2013).pdf",75.0,mathematics,low,True,"Instructor's Solutions Manual to Thomas' Calculus: Early Transcendentals, 13th Edition",George B. Thomas; Maurice D. Weir; Joel R. Hass,2013,80,,,1e3793f73e9d78e3a5f43bd7ee7d0b2ad38eb23cf38b100282354e4e80779e14,1267
" C. Cohen-Tannoudji, B. Diu, F. Laloe - Quantum Mechanics 1-3. Basic Concepts, Tools, and Applications_ Angular Momentum, Spin, and Approximation_ Fermions, Bosons, Pho (2019, Wiley-VCH) - libgen.li.pdf",116.5,physics,low,True,"C. Cohen-Tannoudji, B. Diu, F. Laloe - Quantum Mechanics 1-3. Basic Concepts, Tools, and Applications: Angular Momentum, Spin, and Approximation: Fermions, Bosons, Pho (2019, Wiley-VCH)",Claude Cohen-Tannoudji,2019,75,hash_dup_1,possible_duplicate,29308eddcf767649d3efa7bc977496f420172c447ec31bfad35a3dffeb9636e0,2425
(Adaptive Computation and Machine Learning series) Kevin P. Murphy - Machine Learning_ A Probabilistic Perspective-The MIT Press (2012).pdf,25.7,machine_learning,low,True,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,2012,75,fuzzy_dup_392,possible_duplicate,1977d7e8acc598eae1adc9dc671897dedd1ae710f5f3271ca9f2f8aa9d464984,1098
"(Graduate Texts in Mathematics) V. I. Arnold, A. Weinstein, K. Vogtmann - Mathematical Methods Of Classical Mechanics-Springer (1989).pdf",20.9,mathematics,medium,True,"V. I. Arnold, A. Weinstein, K. Vogtmann - Mathematical Methods Of Classical Mechanics-Springer",Administrator,1989,75,hash_dup_24,possible_duplicate,372993c587f7f6571790521acfb61eaf8fc857c451da549a064627b04ac8e194,536
Gilbert Strang - Introduction to Linear Algebra-Wellesley-Cambridge Press (2016).pdf,103.2,algebra,low,True,Introduction to Linear Algebra-Wellesley,Gilbert Strang,2016,75,,,b8ac82bd36fce9ac5f7c9a931c2a5f2491c784ab032072a0da9072a6cd585563,587
Graduate Texts in Mathematics 103 Serge Lang-Complex Analysis-Springer 2003.pdf,31.8,analysis,low,True,Complex Analysis,Serge Lang,2003,75,fuzzy_dup_423,possible_duplicate,d038ee085129274aa84e89dd5c81ea2bb155cee189272befe2b81c909bcb07b7,504
"Herbert Goldstein, Charles P. Poole, John L. Safko-Classical Mechanics (3rd Edition)-Addison Wesley (2001).pdf",26.6,dynamical_systems,low,True,Classical Mechanics (3rd Edition),Herbert Goldstein; Charles P. Poole; John L. Safko,2001,75,hash_dup_206,possible_duplicate,d7c49c3ab36aaa1b9d553ba02368703719f90814df2ea003365753f24bf31b01,647
John David Jackson-Classical Electrodynamics-John Wiley 1999.pdf,56.4,physics,low,True,John David Jackson-Classical Electrodynamics-John Wiley 1999,Sarang Kulkarni,1999,75,,,47563fb4b9725e3b2a7dc5a58aa16ba510a9fa1275cf7b46fe2f5e56ebe14f9e,834
Kevin P. Murphy - Probabilistic Machine Learning_ An Introduction-The MIT Press (2021).pdf,80.3,machine_learning,low,True,Probabilistic Machine Learning: An Introduction,Kevin P. Murphy,2021,75,,,b0e2307e746165b1223fe5522b783cb899f36bd4bdfca549358b3a5f0e7a2582,863
