sha256,filename,file_size_mb,domain,confidence,priority_score,title,authors,year,publisher,is_book,r2_isbns,r2_ol_title,r2_ol_found,r2_classification_domain,r2_classification_confidence,r2_classification_method,r2_chars_extracted,r2_extractable,r2_has_toc,r2_content_fingerprint,reclassified_as_book,duplicate_group,r2_dedup_is_best_copy
b8ac82bd36fce9ac5f7c9a931c2a5f2491c784ab032072a0da9072a6cd585563,Gilbert Strang - Introduction to Linear Algebra-Wellesley-Cambridge Press (2016).pdf,103.24,rag_llm,medium,100,Introduction to Linear Algebra-Wellesley,Gilbert Strang,2016,Cambridge Press,True,9780980232776; 9780961408817; 9780961408879; 9780961408800; 9780980232745; 9780980232738; 9780980232769; 9780980232790; 9780980232707,,,linear_algebra,low,claude_code,24434,True,True,9d4d9522495afe82,,,True
1e3793f73e9d78e3a5f43bd7ee7d0b2ad38eb23cf38b100282354e4e80779e14,"George B. Thomas , Maurice D. Weir , Joel R. Hass - Instructor's Solutions Manual to Thomas' Calculus_ Early Transcendentals, 13th Edition-Pearson (2013).pdf",74.99,mathematics,medium,95,"Instructor's Solutions Manual to Thomas' Calculus: Early Transcendentals, 13th Edition",George B. Thomas; Maurice D. Weir; Joel R. Hass,2013,Pearson,True,,,,mathematics,medium,keyword_text,4387,True,True,abe0d67be332565b,,,True
3c07e21036bc76cf506b61bbea7cb601730bfddd5db47907f543d70f78854ea7,1 Claude Cohen-Tannoudji Bernard Diu Frank LaloÃ - Quantum Mechanics Volume 1 2nd Edition 1 2019 Wiley - libgenli.pdf,46.95,physics,low,90,"Quantum Mechanics, Volume 1",Claude Cohen-Tannoudji; Bernard Diu; Franck Lalo,2019,,True,9783527345533; 9783527822706; 9783527822713,,,,,,3962,True,False,7541445b78695d97,,,True
1977d7e8acc598eae1adc9dc671897dedd1ae710f5f3271ca9f2f8aa9d464984,(Adaptive Computation and Machine Learning series) Kevin P. Murphy - Machine Learning_ A Probabilistic Perspective-The MIT Press (2012).pdf,25.69,machine_learning,high,90,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,2012,The MIT Press,True,9780262018029,,,machine_learning,high,keyword_text,4944,True,False,433b9a2a5e511d53,,fuzzy_dup_392,True
d038ee085129274aa84e89dd5c81ea2bb155cee189272befe2b81c909bcb07b7,Graduate Texts in Mathematics 103 Serge Lang-Complex Analysis-Springer 2003.pdf,31.81,mathematics,medium,90,Complex Analysis,Serge Lang,2003,,True,9781441931351; 9781475730838,,,mathematics,medium,keyword_text,3847,True,False,b6c923a8261a040b,,fuzzy_dup_423,True
b0e2307e746165b1223fe5522b783cb899f36bd4bdfca549358b3a5f0e7a2582,Kevin P. Murphy - Probabilistic Machine Learning_ An Introduction-The MIT Press (2021).pdf,80.34,machine_learning,high,85,Probabilistic Machine Learning: An Introduction,Kevin P. Murphy,2021,The MIT Press,True,,,,machine_learning,high,keyword_text,2421,True,False,5e203fdea72c215e,,,True
4193f5fea5371eeea8e3d5402cd2b53d3a504c346b199fda564ea204382e15f5, Claude Cohen-Tannoudji Bernard Diu Franck LaloÃ - Quantum Mechanics Volume 2_ Angular Momentum Spin and Approximation Methods 2019 Wiley-VCH - libgenli.pdf,34.66,physics,low,85,"Quantum Mechanics, Volume 2",Cohen-Tannoudji; Claude; Diu; Bernard; Laloë; Franck,2019,,True,9783527345540; 9783527822720; 9783527822737,,,,,,3973,True,False,330dd25eac4f97bc,,,True
3754329986ebe363ae7442a6803866cb5e404947dd721e58c71f96396e0e4cc2,Gilbert Strang - Differential Equations and Linear Algebra-Wellesley - Cambridge Press (2014).pdf,39.64,mathematics,medium,85,Differential Equations and Linear Algebra-Wellesley,Gilbert Strang,2014,Cambridge Press,True,9780980232790,,,rag_llm,low,keyword_text,4506,True,False,2d09b90fe7a47a38,,,True
ddde7148b8d8ef73e1d30cea28ddf9777d67438bb8ccdf2f6906814eb3f70d2c,Gilbert Strang - Introduction to Linear Algebra Fifth Edition-WELLESLEY -CAMBRIDGE PRESS (2016 ).pdf,49.93,rag_llm,medium,85,Gilbert Strang - Introduction to Linear Algebra Fifth Edition-WELLESLEY -CAMBRIDGE PRESS (2016 ),,2016,,True,9780980232776; 9780961408817; 9780961408879; 9780961408800; 9780980232752; 9780980232738; 9780980232769; 9780980232790; 9780980232707,,,rag_llm,medium,keyword_text,2459,True,False,cf6de669a28b7d9f,,,True
ca4df6d995e827460d981437e98c7180421b0819546ddd4be31ec733579f65e9,David Griffiths-Introduction to Elementary Particles-Wiley-VCH 2008.pdf,28.28,physics,medium,85,David Griffiths-Introduction to Elementary Particles-Wiley-VCH 2008,,2008,,True,9783527406012,,,physics,medium,claude_code,18741,True,True,86fb23b4b42f9986,,,True
40f30bed8869b8ad53c7f5c0f5fca0a974913cd27821b43020efd069dbf32e71,"David J. Griffiths - Introduction to Electrodynamics (2017, Cambridge University Press) - libgen.lc (1).pdf",35.28,physics,low,85,"David J. Griffiths - Introduction to Electrodynamics (2017, Cambridge University Press) - libgen.lc (1)",,2017,,True,9781108420419; 9781108333511,,,mathematics,low,keyword_text,2474,True,True,6690e937890c4362,,,True
47563fb4b9725e3b2a7dc5a58aa16ba510a9fa1275cf7b46fe2f5e56ebe14f9e,John David Jackson-Classical Electrodynamics-John Wiley 1999.pdf,56.37,physics,medium,80,John David Jackson-Classical Electrodynamics-John Wiley 1999,Sarang Kulkarni,1999,,True,,,,physics,medium,claude_code,2345,True,False,561fa830249bcf6a,,,True
d9b100523e4d2368be1606a6c17834ce3945e96bbacde4d466ac8562c444474f,"(Cambridge Monographs on Applied and Computational Mathematics 34) Yuri A. Kuznetsov, Hil G. E. Meijer - Numerical Bifurcation Analysis of Maps-Cambridge University Press (2019).pdf",142.83,mathematics,medium,80,Numerical Bifurcation Analysis of Maps,Yuri A. Kuznetsov; Hil G. E. Meijer,2019,Cambridge University Press,True,9781108499675; 9781108585804,,,mathematics,medium,keyword_text,3682,True,False,53368669f4c45b56,,,True
a09fcda6e2bb4b8e30facb7cd0f26a549ad6d876fb061659d92fcb2619ebcd5a,Dr Claude Gignoux Dr Bernard SilvestreBrac authSolved Problems in Lagrangian and Hamiltonian MechanicsSpringer Netherlands 2009.pdf,17.03,physics,medium,80,Dr Claude Gignoux Dr Bernard SilvestreBrac authSolved Problems in Lagrangian and Hamiltonian MechanicsSpringer Netherlands 2009,4<8=8AB@0B>@,2009,,True,9789048123926; 9789048123933,,,physics,medium,keyword_text,5302,True,False,0d567a356c5003dc,,,True
e992cbe5e06e35862a19ba2d39bb828bf35bcc66a225212e67441375621b91b0,JJ Geewax - Google Cloud Platform in Action-Manning Publications (2018).pdf,25.15,unclassified,unclassified,80,Google Cloud Platform in Action,JJ Geewax,2018,Manning Publications,True,9781617293528; 9781617293,,,,,,2049,True,False,44ce0dac5792336d,,,True
207ede14d7e85777db9d62632ecd3de29b178361e0894fd5209f0fb6242a12dd,L D Landau E M Lifschitz-Fluid Mechanics-Elsevier 1987.pdf,32.54,physics,medium,80,L D Landau E M Lifschitz-Fluid Mechanics-Elsevier 1987,Admin,1987,,True,,,,physics,medium,claude_code,38412,True,True,f9a31a5e65b39a73,,,True
9be1f947f23e7b549e0b8055719d5b89677e56970fcc1a86b0fa0d383fecca4a,Arieh Iserles-A First Course in the Numerical Analysis of Differential Equations-Cambridge 1996.pdf,28.33,numerical_methods,high,80,Arieh Iserles-A First Course in the Numerical Analysis of Differential Equations-Cambridge 1996,John,1996,,True,0521553768; 0521556554,,,dynamical_systems,low,claude_code,20389,True,True,0c47daf7e55b7e58,,,True
a7b1321622a71eedd421ed8c86f1fe58bb73969054cedc740d18ae69c2b8b24d,Aurélien Géron - Hands-On Machine Learning with Scikit-Learn Keras and TensorFlow_ Concepts Tools and Techniques to Build Intelligent Systems-OReilly Media 2019.pdf,54.32,machine_learning,low,80,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Geron; Aurelien; Safari; an O'Reilly Media Company,2019,,True,9781492032649,,,machine_learning,low,keyword_text,5234,True,True,8cbad7bb9b866782,,,True
aee16a68110532aa990e5e6bbbd727aa2a2ed52197f69720ae8e8b7f48f7c0d9,"Kenneth R. Meyer, Daniel C. Offin - Introduction to Hamiltonian Dynamical Systems and the N-Body Problem-Springer (2017).pdf",4.16,dynamical_systems,high,80,Introduction to Hamiltonian Dynamical Systems and the N-Body Problem,Kenneth R. Meyer; Daniel C. Offin,2017,Springer,True,9783319536903; 9783319536910,,,dynamical_systems,medium,keyword_text,6803,True,True,e44d2c6537902ad6,,,True
e1679ea710d45188260d4c9e4e065a5fa7d95dcf9b538bf3bc794e6a0b2c45a7,compressed_(Adaptive Computation and Machine Learning series) Kevin P. Murphy - Machine Learning_ A Probabilistic Perspective-The MIT Press (2012).pdf,32.3,machine_learning,medium,80,compressed_(Adaptive Computation and Machine Learning series) Kevin P. Murphy - Machine Learning: A Probabilistic Perspective-The MIT Press,,2012,,True,9780262018029,,,machine_learning,medium,keyword_text,1115,True,False,24cb65f03cbff5b9,True,,True
