filename,size_mb,domain,confidence,is_book,title,authors_str,year,priority_score,duplicate_group,flags_str,sha256,pages
"(Journal of Strength & Conditioning Research) Schoenfeld BJ, Peterson MD, Ogborn D, Contreras B, Sonmez GT-[Article] Effects of Low- Versus High-Load Resistance Training on Muscle Strength and Hypertr.pdf.pdf",0.3,unclassified,unclassified,False,"Schoenfeld BJ, Peterson MD, Ogborn D, Contreras B, Sonmez GT-[Article] Effects of Low- Versus High-Load Resistance Training on Muscle Strength and Hypertr.pdf",,,0,,,bb10410788d728da7e7290ef67e80894cc3c60a54f4e8053515e4d150a08f9d2,32
(Texts in Applied Mathematics 41) Brian Davies (auth.)-Integral Transforms and Their Applications-Springer-Verlag New York (2002).pdf.pdf,20.2,mathematics,low,False,Brian Davies (auth.)-Integral Transforms and Their Applications-Springer-Verlag New York,,2002,50,hash_dup_57,possible_duplicate,f10ae4604ad24bb0560d156ebaed8540c281447a95502931c038e03e03db02e0,386
(Undergraduate texts in mathematics) John Stillwell (auth.)-Naive Lie theory-Springer-Verlag New York (2008).pdf.pdf,1.4,mathematics,low,False,John Stillwell (auth.)-Naive Lie theory-Springer-Verlag New York,,2008,30,hash_dup_62,possible_duplicate,6035281475f06d1c4f1dec0196d217c51f9a2ca23f3912be5266ed8c495ceaf1,230
-Four Hamiltonian Systems 2005.pdf,0.7,dynamical_systems,low,False,Four Hamiltonian Systems 2005,,2005,20,,,c8ecfc9d142aee5293c922154c9145d3d7329f172a296f57e3c5b684babe3be7,25
0000263pdfsequence=1.pdf,0.6,unclassified,unclassified,False,0000263pdfsequence=1,,,0,,,661b31f4ed0ad71e0bf452817aa0e5a65d7c69a4dbdc4447f758393b1a573dba,9
0000384.pdf,1.0,unclassified,unclassified,False,PII: 0167-2789(88)90025-5,,,0,,,5efb4ef83dabc7243ac757b76f7e9cc73418d53c117cf51475b64e7ff8c42ef0,20
0008068.pdf,0.9,unclassified,unclassified,False,arXiv:math/0008068v2  [math.NT]  7 Jan 2001,,,0,,,d090641554ecd4bf99163e1314c7cb3a3547254f4b0bbef1b733efa299823828,125
01-ModelingToolkit.pdf,0.2,software_engineering,low,False,01-ModelingToolkit,Chris Rackauckas,,10,,,c6155deea0eb59f278d01f6743e4e7bbee8e7c4e8ff82942ea5aef50ccf1b5dd,15
01-beeler_reuter.pdf,0.2,mathematics,low,False,01-beeler_reuter,Shahriar Iravanian,,10,,,79d1cbd1b555790fd3c3bcf38e8300348efd835e4209212d9e2384f084868d88,18
01-ode_introduction.pdf,0.5,mathematics,low,False,01-ode_introduction,Chris Rackauckas,,10,,,21d2728939dd672912c72c9db3e0e4936c23a5acb7172cb5e086e77a3d7dd911,20
01-workshop_exercises.pdf,0.1,fitness,low,False,01-workshop_exercises,Chris Rackauckas,,10,,,09b9ef42a27cd01b65c3722928e40ef8967bf8536457e596a22d2a370750b42b,14
0101026.pdf,0.1,unclassified,unclassified,False,arXiv:physics/0101026v1  [physics.class-ph]  4 Jan 2001,,,0,,,7ca977b36a5b2843795e7d42173ac93fb5c09adad929aee0317fc0489481aaa2,9
0105048.pdf,0.6,unclassified,unclassified,False,arXiv:nlin/0105048v3  [nlin.CD]  30 Aug 2001,,,0,,,55ab589363f88efc2a9598d43268b1a0f49da79af30f7d2690a66e12b60e80ce,22
0109202.pdf,0.3,unclassified,unclassified,False,arXiv:math/0109202v1  [math.DS]  25 Sep 2001,,,0,,,4cfc89de9ecdd492f7567136946396ea55f917ea90611249b1e136806f4e3e40,35
0141076820972668.pdf,0.3,unclassified,unclassified,False,"COVID-19, seasonal influenza and measles: potential triple burden and the role of flu and MMR vaccines",Nazrul Islam; Kamlesh Khunti; Azeem Majeed,,10,,,699b5737e6fc3286d3789aff8e2ea0810080bb67c4766e4884cd36c113f3e78d,2
01_11_2024_to_02_08_2024.pdf,0.8,unclassified,unclassified,False,01_11_2024_to_02_08_2024,,,0,,,150f02e1c8708945cc44145cb47a546d9d39a69eb5d90e9c45ff3f835a878a42,4
01_Models2.9.23.pdf,0.5,mathematics,low,False,01_Models2.9.23,,,0,,,528a70eb12f0a2941ab3a0f041ddf476df3b2422ce27acb0de823a65a3568a7b,16
01_intro_1_1_whystudyalgorithms.pdf,0.1,algorithms,low,False,01_intro_1_1_whystudyalgorithms,Daniel Kane; Alexander S. Kulikov; Michael Levin; Pavel Pevzner; Neil Rhodes,,10,,,a8bfab816ef1219ae1a536e467030a01322e3d06c5eb88e8329d5f3b039ad837,18
01_intro_1_2_comingup.pdf,0.1,algorithms,low,False,01_intro_1_2_comingup,Daniel Kane; Alexander S. Kulikov; Michael Levin; Pavel Pevzner; Neil Rhodes,,10,,,e54e336c645f7452f7969322d45f80e0e8bd2f3382d1b07e48221f2795bd88a9,7
01_intro_2_fibonaccinumbers.pdf,0.2,algorithms,low,False,01_intro_2_fibonaccinumbers,Daniel Kane; Alexander S. Kulikov; Michael Levin; Pavel Pevzner; Neil Rhodes,,10,,,0bf8aeb75c36c2ff0add5a3d71306717e8c64d9cf0c1024f50373a979336aa77,44
01_intro_3_GCD1.pdf,0.3,algorithms,low,False,01_intro_3_GCD1,Daniel Kane; Alexander S. Kulikov; Michael Levin; Pavel Pevzner; Neil Rhodes,,10,,,ae356654d2be247be5370d3b058b937eaefc2215ff0306e819f3e220921d9a98,11
01_intro_3_GCD2.pdf,0.1,algorithms,low,False,01_intro_3_GCD2,Daniel Kane; Alexander S. Kulikov; Michael Levin; Pavel Pevzner; Neil Rhodes,,10,,,04e2798584eae571bf45870a2f04a39cef15a98d652160cdd442fd4984e0706f,18
